"
source_name",home,chain_base,title,published_date,text
saudi_news_agency,http://www.spa.gov.sa/home.php?lang=en,http://www.spa.gov.sa/,#h4NewsTitle,.socal_share,.divNewsDetailsText
gulf_news,http://gulfnews.com,,.story-title,.time,.wrapper-details
south_china morning post,http://www.scmp.com/frontpage/international,http://www.scmp.com/,#page-title,.node-published,#block-system-main .v2-processed
kuwait times,http://news.kuwaittimes.net/website,,.entry_title,td,p
the strait times,http://www.straitstimes.com/global,http://www.straitstimes.com/,.node-title,.story-postdate,p
Today,http://www.todayonline.com,http://www.todayonline.com/,h2,.post-byline_item,p
Business times,http://www.businesstimes.com.sg,http://www.businesstimes.com.sg/,.headline,.date-icon,p
the new paper,http://www.tnp.sg,,.story-headline,.field-label-hidden,p
new straits times,http://www.nst.com.my,http://www.nst.com.my/,.ph-wrapper,.post-date,p
the sun,http://www.thesundaily.my,http://www.thesundaily.my/,.page-title,.submitted,p
gulf daily news,http://www.gdnonline.com,http://www.gdnonline.com/,.oswald.nomarginpadding,.icotime,p
the province,http://www.theprovince.com,,.entry-title,.byline-dates p:nth-child(1),p
daily mail,http://www.dailymail.co.uk/ushome/index.html,http://www.dailymail.co.uk/,h1,.article-timestamp-published,.mol-para-with-font
the guardian,http://www.theguardian.com,https://www.theguardian.com/,.content__headline,.content__dateline,p
marianas business journal - saipan,http://mbjguam.com,,.entry-title,.published,p
daly mirror,http://www.mirror.co.uk,,.section-theme-background-indicator,.time-info li,p
marianas variety news and views - saipan,http://www.mvariety.com,http://www.mvariety.com/,.contentheading,.article-info,p
daily star,http://www.dailystar.co.uk,,.clear,time,p
cyrpus mail,http://www.cyprus-mail.com,,h1,.fa-calendar,p
daily express,http://www.express.co.uk,http://www.express.co.uk/,h1,.publish-info,p
tripoli post,http://www.tripolipost.com,,.LargeHeaders,.DateFormat,.Normaltext
Jewish telegraphic agency,http://www.jta.org,,.loop-entry-title,"time, .entry-date",p
jns,http://www.jns.org,http://www.jns.org/,.post-title,.meta,p
oman tribune,http://omantribune.com,,.entry-title,.meta-info,p
muscat daily,http://www.muscatdaily.com,http://www.muscatdaily.com/,h1,.date,p
the sun,http://www.thesun.co.uk,http://www.thesun.co.uk/,.article__headline,.article__published,.article__content p
vancouver sun,http://vancouversun.com,,.entry-title,.byline-dates,p
toronto sun,http://www.torontosun.com,http://www.torontosun.com/,.entry-title,.meta,p
national post,http://www.nationalpost.com,http://www.nationalpost.com/,.entry-title,.pubdate,p
calgary herald,http://calgaryherald.com,http://calgaryherald.com/,.entry-title,.pubdate,p
CNN,http://cnn.com,http://cnn.com/,.pg-headline,.update-time,.zn-body
huffington post,http://www.huffingtonpost.com,http://www.huffingtonpost.com/,.headline__title,.timestamp,p
fox news,http://www.foxnews.com,,.head1,.date,.article-body
cbs news,http://www.cbsnews.com,http://www.cbsnews.com/,h1,.time,#article-entry p
msnbc,http://www.msnbc.com,http://www.msnbc.com/,.pane-node-title,.article-date-posted,.field-label-hidden
NBC news,http://www.nbcnews.com,http://www.nbcnews.com/,h1,.timestamp_article,p
WSJ,http://www.wsj.com,http://www.wsj.com/,.wsj-article-headline,.timestamp,p
the nyt,http://www.nytimes.com,,#headline,#story-meta-footer,.story-content
usa today,http://www.usatoday.com,http://www.usatoday.com/,.speakable-headline,.nobyline,.p-text
the washington post,http://www.washingtonpost.com,http://www.washingtonpost.com/,h1,.pb-timestamp,p
chicago sun times,http://chicago.suntimes.com,,h1,.top-date,p
the times(UK),http://www.thetimes.co.uk,http://www.thetimes.co.uk/,.Headline--article,.Dateline,p
daily record (UK),http://www.dailyrecord.co.uk,http://www.dailyrecord.co.uk/,.section-theme-background-indicator,.time-info li,p
ammon news,http://en.ammonnews.net,http://en.ammonnews.net/,#_DataList1 h3,.Article-News-Date,p
Kuam News,http://www.kuam.com,http://www.kuam.com/,h3,.wnDate,#WNStoryBody p
Pacific Daily News (EN),http://www.guampdn.com,http://www.guampdn.com/,.speakable-headline,.nobyline,.p-text
philippine daily inquirer,http://www.inquirer.net,,.entry-title,#art_plat,p
the manila times,http://www.manilatimes.net,http://www.manilatimes.net/,.fn,.value-title,p
Business World ,http://www.bworldonline.com,http://www.bworldonline.com/,.entry-title,.td-module-date,p
Saipan Tribune – Saipan (U),http://www.saipantribune.com,,.blog-title a,.blog-date a,p
News In Cyprus — online (U),http://www.newsincyprus.com,"http://www.newsincyprus.com/, cut period",h1,.single-article span:nth-child(1),p
i,http://inews.co.uk,,.article__heading,.published,p
Daily Telegraph,http://www.telegraph.co.uk,http://www.telegraph.co.uk/,headline__heading,.article-date-published,p
The Week,http://www.theweek.co.om,http://www.theweek.co.om/,h1,.date,p
Times of Oman,http://timesofoman.com,,.L9black-bold,.wrapArticleDateCss,p
Oman Daily Observer (U),http://omanobserver.om,,#content .entry-title,,p
The Daily Star lebanon,http://dailystar.com.lb,http://dailystar.com.lb/,#bodyHolder_divTitle,#bodyHolder_divDate,p
The Gazette,http://montrealgazette.com,,.entry-title,.byline-dates,p
Arab News,http://www.arabnews.com,http://www.arabnews.com/,h1,.entry-meta time,p
